Allocations for Section 18004(a)(1) of the CARES Act,,,
,,,
OPEID,School,Total Allocation ($),"Minimum Allocation to
be Awarded for
Emergency Financial Aid
Grants to Students ($)"
3982300,Visible Music College,"185,814.00","92,907.00"
4170100,Summit Salon Academy,"185,557.00","92,779.00"
4270000,Urban Barber College,"185,408.00","92,704.00"
4036300,Southeast Texas Career Institute,"185,252.00","92,626.00"
4178700,Atelier Esthetique Institute Of Esthetics,"184,855.00","92,428.00"
2306700,Fort Worth Beauty School,"184,574.00","92,287.00"
1040600,"Josef'S School Of Hair, Skin & Body","184,384.00","92,192.00"
987300,Aveda Institute Twin Falls,"184,189.00","92,095.00"
1198400,Ohr Hameir Theological Seminary,"184,006.00","92,003.00"
4141700,Healing Hands School Of Holistic Health,"183,798.00","91,899.00"
1181000,Taylor Business Institute,"183,531.00","91,766.00"
3787300,Expertise Cosmetology Institute,"183,021.00","91,511.00"
3147300,Yeshiva D'Monsey,"182,423.00","91,212.00"
1116600,Broadview University,"182,258.00","91,129.00"
2140700,Canton City School District Adult Career & Technical Education,"181,545.00","90,773.00"
4150800,Immokalee Technical College,"181,354.00","90,677.00"
4059300,Tucson College Of Beauty,"180,991.00","90,496.00"
888000,Morrison Institute Of Technology,"180,060.00","90,030.00"
1155300,William R  Moore College Of Technology,"180,060.00","90,030.00"
4224100,Cosmetology Academy Of Texarkana,"180,042.00","90,021.00"
2601600,Brewster Technical College,"179,902.00","89,951.00"
3102100,Morgantown Beauty College,"179,773.00","89,887.00"
4273800,Yeshiva Gedola Tiferes Yerachmiel,"179,422.00","89,711.00"
2494700,Baltimore Studio Of Hair Design,"179,166.00","89,583.00"
989900,Lowell Academy Hair Styling Institute,"178,641.00","89,321.00"
3106500,Sentara College Of Health Sciences,"178,560.00","89,280.00"
3946300,Franklin W. Olin College Of Engineering,"178,424.00","89,212.00"
4158400,L'Esprit Academy,"178,333.00","89,167.00"
4131200,Total Image Beauty Academy,"178,161.00","89,081.00"
4189100,Salon Institute - Toledo Campus,"177,967.00","88,984.00"
4175000,Universal Spa Training Academy,"177,669.00","88,835.00"
2554200,Radford M. Locklin Technical College,"177,103.00","88,552.00"
4142000,Austin'S Beauty College,"177,047.00","88,524.00"
4230100,Rabbinical College Ohr Yisroel,"176,604.00","88,302.00"
2351500,Northern Career Institute,"176,450.00","88,225.00"
542400,South Central Career Center,"176,341.00","88,171.00"
2231900,Gemological Institute Of America,"176,142.00","88,071.00"
2499000,Academy Of Cosmetology,"176,007.00","88,004.00"
4259000,Yeshiva Shaar Ephraim,"175,684.00","87,842.00"
489900,Upmc Mercy School Of Nursing,"175,624.00","87,812.00"
1028000,Ohio State Beauty Academy,"175,286.00","87,643.00"
2612700,"Salon Professional Academy - Melbourne, The","175,281.00","87,641.00"
4250500,National Personal Training Institute,"175,113.00","87,557.00"
1287900,Pat Goins Benton Road Beauty School,"175,113.00","87,557.00"
3125100,College Of Menominee Nation,"174,970.00","87,485.00"
168900,Illinois College Of Optometry,"174,875.00","87,438.00"
4245600,Yeshivas Maharit D'Satmar,"174,514.00","87,257.00"
653400,Citizens School Of Nursing,"174,244.00","87,122.00"
2269700,Aveda Institute Maryland,"174,174.00","87,087.00"
1290500,Academy Of Careers And Technology,"174,170.00","87,085.00"
616500,Los Angeles County College Of Nursing And Allied Health,"174,062.00","87,031.00"
2620000,Sandusky Career Center,"174,031.00","87,016.00"
4157100,L3 Commercial Training Solutions Airline Academy,"173,310.00","86,655.00"
3177300,San Juan Bautista School Of  Medicine,"173,235.00","86,618.00"
3874300,Cambridge Junior College,"172,968.00","86,484.00"
2212700,Lancaster School Of Cosmetology & Therapeutic Bodywork,"172,624.00","86,312.00"
777900,Lansdale School Of Business,"172,490.00","86,245.00"
3839300,Aveda Institute New York,"172,354.00","86,177.00"
3099600,"Mercy Hospital School Of Practical Nursing, A Program Of Plantation Ge","172,183.00","86,092.00"
4183400,Salon Professional Academy (The),"172,010.00","86,005.00"
4060300,American Institute Of Medical Technology,"171,804.00","85,902.00"
4096300,Charleston School Of Law,"171,674.00","85,837.00"
4072300,Aveda Institute Provo,"171,492.00","85,746.00"
2228500,Life Chiropractic College West,"171,227.00","85,614.00"
4190800,Santa Ana Beauty College,"171,120.00","85,560.00"
2205000,College Of Wilmington,"170,909.00","85,455.00"
4176000,American Technical Institute,"170,856.00","85,428.00"
1081400,Pittsburgh Institute Of Mortuary Science,"170,652.00","85,326.00"
1037800,Rabbinical College Of Long Island,"170,473.00","85,237.00"
2137100,Black Hills Beauty College,"170,310.00","85,155.00"
4183300,Abcott Institute,"169,653.00","84,827.00"
996300,Caddo-Kiowa Area Vocational-Technical School District No. 2,"169,573.00","84,787.00"
826000,Iowa School Of Beauty,"169,529.00","84,765.00"
2181600,Rob Roy Academy,"168,757.00","84,379.00"
2336300,Knox County Career Center,"168,704.00","84,352.00"
397600,Rabbinical Academy Mesivta Rabbi Chaim Berlin,"168,667.00","84,334.00"
3910400,National Polytechnic College,"168,452.00","84,226.00"
2562300,Apollo Career Center,"168,199.00","84,100.00"
4139800,Delaware College Of Art And Design,"168,154.00","84,077.00"
4270400,Transitions Career Institute School Of Nursing,"167,929.00","83,965.00"
1321400,Roxborough Memorial Hospital,"167,758.00","83,879.00"
4001300,Palace Beauty College,"167,681.00","83,841.00"
2184200,Paroba College Of Cosmetology,"167,414.00","83,707.00"
1116500,Uintah Basin Technical College,"167,365.00","83,683.00"
3445300,Hds Truck Driving Institute,"167,052.00","83,526.00"
2282300,Alhambra Beauty College,"166,902.00","83,451.00"
4130500,Pacific Northwest University Of Health Sciences,"166,437.00","83,219.00"
4121100,Elevate Salon Institute,"166,435.00","83,218.00"
3974500,California Career College,"166,258.00","83,129.00"
231100,Kuyper College,"166,221.00","83,111.00"
1324000,Lytle'S Redwood Empire Beauty College,"166,160.00","83,080.00"
2309500,Clovis Adult Education,"166,012.00","83,006.00"
2235600,Erie 2 - Chautauqua - Cattaraugus Boces,"165,833.00","82,917.00"
4203500,Austin Kade Academy,"165,658.00","82,829.00"
1083600,Pivot Point Academy,"165,647.00","82,824.00"
4254000,Phipps Academy Of Barbering,"165,608.00","82,804.00"
4171100,Paul Mitchell The School - Delaware,"165,470.00","82,735.00"
4151200,Salon Professional Academy (The),"165,215.00","82,608.00"
1032300,Hannah E Mullins School Of Practical Nursing,"164,959.00","82,480.00"
1230900,University Of Western States,"164,488.00","82,244.00"
694100,Dallas Christian College,"164,340.00","82,170.00"
2336700,Cuyahoga Valley Career Center,"164,195.00","82,098.00"
4244300,Antioch College,"164,109.00","82,055.00"
4210800,Nri Institute Of Health Sciences,"163,872.00","81,936.00"
2139500,Hawaii Institute Of Hair Design,"163,841.00","81,921.00"
3127100,Yeshivas Novominsk,"163,597.00","81,799.00"
4233100,Arizona School Of Integrative Studies,"163,548.00","81,774.00"
4205500,Lil Lou'S Beauty And Barber College Llc,"163,493.00","81,747.00"
792100,Paul Mitchell The School Arkansas,"163,392.00","81,696.00"
4185600,Medical Allied Career Center,"163,365.00","81,683.00"
216400,New England College Of Optometry (The),"163,236.00","81,618.00"
4124700,Ambria College Of Nursing,"162,885.00","81,443.00"
4186900,"International College Of Beauty, Arts & Sciences","162,618.00","81,309.00"
630500,Maine College Of Health Professions,"162,446.00","81,223.00"
3689400,Faith International University,"162,349.00","81,175.00"
350700,Memphis College Of Art,"162,346.00","81,173.00"
4273300,Victory Career College,"162,289.00","81,145.00"
4158500,Texas Beauty College,"162,091.00","81,046.00"
4216000,Universal Training Institute,"162,039.00","81,020.00"
4138500,Houston International College Cardiotech Ultrasound School,"161,545.00","80,773.00"
677500,Rainy River Community College,"161,267.00","80,634.00"
4157600,Nova Academy Of Cosmetology,"160,801.00","80,401.00"
4187200,New Beginning College Of Cosmetology,"160,764.00","80,382.00"
2275300,Cabell County Career Technology Center,"160,620.00","80,310.00"
4167200,Geisinger Commonwealth School Of Medicine,"160,035.00","80,018.00"
226900,Great Lakes Christian College,"159,906.00","79,953.00"
2569600,Searcy Beauty College,"159,333.00","79,667.00"
752900,Chester County Intermediate Unit Practical Nursing Program,"158,967.00","79,484.00"
4245500,Universal Healthcare Careers College,"158,672.00","79,336.00"
177800,Vandercook College Of Music,"158,225.00","79,113.00"
2260200,Diesel Driving Academy,"158,043.00","79,022.00"
2492600,Eastern Center For Arts And Technology-Practical Nursing,"157,939.00","78,970.00"
2277300,Sisseton Wahpeton College,"157,620.00","78,810.00"
3126200,Green Country Technology Center,"157,598.00","78,799.00"
2324500,Michigan College Of Beauty-Monroe,"157,293.00","78,647.00"
3999300,Beaumont Adult School,"156,954.00","78,477.00"
4237800,California Barber And Beauty College,"156,711.00","78,356.00"
4252700,Pacific Rim Christian University,"156,569.00","78,285.00"
1238600,Southeastern Regional Vocational Technical School,"156,398.00","78,199.00"
479800,Mirrer Yeshiva Central Institute,"156,376.00","78,188.00"
351700,Southern College Of Optometry,"156,253.00","78,127.00"
531200,Red River Technology Center School District 19,"156,175.00","78,088.00"
4192700,Barber School (The) By Tim Hite,"156,033.00","78,017.00"
4195200,Diamond Beauty College,"155,896.00","77,948.00"
4179900,Tomorrow'S Image Barber & Beauty Academy Of Virginia,"155,646.00","77,823.00"
4170600,Salon Professional Academy (The),"155,262.00","77,631.00"
3579300,Texas County Technical Institute,"155,166.00","77,583.00"
4169900,American Beauty Academy,"155,076.00","77,538.00"
2220500,God'S Bible School & College,"154,996.00","77,498.00"
4212000,Lawrence & Company College Of Cosmetology,"154,888.00","77,444.00"
2528200,Robert Fiance Beauty Schools,"154,526.00","77,263.00"
2520000,International School Of Skin And Nailcare,"154,203.00","77,102.00"
4218400,City Pointe Beauty Academy,"153,715.00","76,858.00"
718700,North Adrian'S College Of Beauty,"153,436.00","76,718.00"
4230500,Paul Mitchell The School  Grand Rapids,"153,424.00","76,712.00"
3012300,Asm Beauty World Academy,"153,271.00","76,636.00"
4231500,Yeshiva Sholom Shachna,"153,086.00","76,543.00"
4121800,Criswell College,"152,588.00","76,294.00"
4164100,Montana Academy Of Salons,"152,333.00","76,167.00"
2262100,Hair Professionals School Of Cosmetology,"152,298.00","76,149.00"
1046000,American Baptist Theological Seminary,"152,145.00","76,073.00"
4157700,Salon Professional Academy (The),"152,081.00","76,041.00"
4276300,American Massage & Bodywork Institute,"151,958.00","75,979.00"
4251400,Elim Bible Institute And College,"151,944.00","75,972.00"
2081400,Arlington Baptist University,"151,631.00","75,816.00"
2343000,Fort Peck Community College,"151,493.00","75,747.00"
4271800,Red Lake Nation College,"151,473.00","75,737.00"
2178200,Charleston School Of Beauty Culture,"151,472.00","75,736.00"
2538500,Arthur'S Beauty College,"151,409.00","75,705.00"
1193400,Vermont Law School,"151,393.00","75,697.00"
3763400,Bold Beauty Academy,"151,384.00","75,692.00"
2582200,"Guy'S Academy Hair, Skin & Nails","151,266.00","75,633.00"
643800,Phillips School Of Nursing At Mount Sinai Beth Israel,"151,193.00","75,597.00"
3128400,Delaware County Technical School,"150,255.00","75,128.00"
4178300,Vogue College Of Cosmetology,"150,129.00","75,065.00"
3205400,Jolie Hair And Beauty Academy,"150,088.00","75,044.00"
4169100,Diamonds Cosmetology College,"149,983.00","74,992.00"
1313200,International College Of Broadcasting,"149,705.00","74,853.00"
2298000,Design Institute Of San Diego,"149,639.00","74,820.00"
4120400,Paul Mitchell The School Miami,"149,326.00","74,663.00"
4183600,Salon Professional Academy Of Kenosha (The),"149,246.00","74,623.00"
2179600,Empire Beauty Schools,"149,165.00","74,583.00"
737500,Island Drafting & Technical Institute,"149,013.00","74,507.00"
891600,New England Law | Boston,"148,978.00","74,489.00"
4169000,Salon & Spa Institute,"148,644.00","74,322.00"
2218200,Garnet Career Center,"148,515.00","74,258.00"
4153000,Renaissance Academie,"148,303.00","74,152.00"
3855300,Ecclesia College,"148,173.00","74,087.00"
2321400,Toni & Guy Hairdressing Academy,"147,974.00","73,987.00"
2178700,Citrus Heights Beauty College,"147,682.00","73,841.00"
2482100,Morehouse School Of Medicine,"147,523.00","73,762.00"
3034200,Washington County Career Center Adult Education,"146,812.00","73,406.00"
4150900,Keune Academy By 124,"146,504.00","73,252.00"
4127200,Victoria'S Academy Of Cosmetology,"146,462.00","73,231.00"
3479300,Pci College,"146,325.00","73,163.00"
4128000,Millennium Training Institute,"145,817.00","72,909.00"
123000,Marshall B. Ketchum University,"145,778.00","72,889.00"
884600,Wright Institute (The),"145,487.00","72,744.00"
4189200,Salon Professional Academy (The),"145,367.00","72,684.00"
714200,Lyle'S College Of Beauty,"145,271.00","72,636.00"
2597400,Pontotoc Technology Center District #14,"145,011.00","72,506.00"
2525900,Artistic Academy Of Hair Design (The),"144,984.00","72,492.00"
4116400,Future-Tech Institute,"144,916.00","72,458.00"
4182100,First Class Cosmetology School,"144,868.00","72,434.00"
3323300,Little Priest Tribal College,"144,184.00","72,092.00"
1128200,Oklahoma State University Center For Health Sciences,"144,134.00","72,067.00"
2275900,Modern Welding School,"143,813.00","71,907.00"
262600,Princeton Theological Seminary,"143,741.00","71,871.00"
4223100,Arrojo Cosmetology School,"143,683.00","71,842.00"
2541900,Bj'S Beauty & Barber College,"143,520.00","71,760.00"
4246300,Edumed Partners,"143,284.00","71,642.00"
361800,Southwestern Christian College,"143,039.00","71,520.00"
146400,Wesley Theological Seminary,"142,919.00","71,460.00"
2165200,Salon Professional Academy (The),"142,706.00","71,353.00"
4210700,New York Institute Of Beauty,"142,667.00","71,334.00"
996400,Central Technology Center School District No. 3,"142,537.00","71,269.00"
4205100,Great Lakes Truck Driving School,"142,439.00","71,220.00"
2330800,Jrmc School Of Nursing,"142,391.00","71,196.00"
369700,Vermont College Of Fine Arts,"142,286.00","71,143.00"
252900,Dawson Community College,"142,151.00","71,076.00"
4220400,Chrysm Institute Of Esthetics (The),"142,024.00","71,012.00"
3191300,Cuny School Of Law '(The)',"141,995.00","70,998.00"
658300,Western Pennsylvania Hospital School Of Nursing,"141,885.00","70,943.00"
4221100,New Horizons Medical Institute,"141,871.00","70,936.00"
4218200,Paul Mitchell The School - Jersey Shore,"141,637.00","70,819.00"
4230900,Ricci'S Toni & Guy Hairdressing Academy/ Tigi Creative School,"141,397.00","70,699.00"
1004300,Bon Secours Memorial College Of Nursing,"141,069.00","70,535.00"
1016100,Loraines Academy & Spa,"141,007.00","70,504.00"
3263300,Traxler'S School Of Hair,"140,747.00","70,374.00"
1050100,Lakeview College Of Nursing,"140,717.00","70,359.00"
4163100,Summit Salon Academy - Gainesville,"140,570.00","70,285.00"
4223600,Academy Of Interactive Entertainment,"140,430.00","70,215.00"
1289600,"North Coast College, The","140,180.00","70,090.00"
3696300,University Of The West,"140,086.00","70,043.00"
4123400,Yeshivas Be'Er Yitzchok,"139,993.00","69,997.00"
2546300,Yeshiva Of The Telshe Alumni,"139,972.00","69,986.00"
4231200,Neecee'S Barber College,"139,821.00","69,911.00"
3430300,Universal Therapeutic Massage Institute,"139,681.00","69,841.00"
4225500,Westchester School For Dental Assistants,"139,681.00","69,841.00"
4215200,Vibe Barber College,"139,552.00","69,776.00"
4216900,San Ignacio University,"139,442.00","69,721.00"
4149800,Somerset County Technology Center,"139,358.00","69,679.00"
4252300,Premier Barber Institute,"139,299.00","69,650.00"
4195500,Southern States University,"139,085.00","69,543.00"
4141000,Douglas J Aveda Institute-Chicago,"138,888.00","69,444.00"
2602100,Northwest College Of Art & Design,"138,482.00","69,241.00"
835500,James Rumsey Technical Institute,"138,292.00","69,146.00"
4225000,Parisian Spa Institute,"138,096.00","69,048.00"
3823300,Florida Academy Of Health & Beauty,"137,965.00","68,983.00"
4220000,Designer Barber & Stylist School,"137,801.00","68,901.00"
135200,Denver Seminary,"137,773.00","68,887.00"
4054300,Southwest Technical College,"137,095.00","68,548.00"
1274400,Southside College Of Health Sciences,"137,088.00","68,544.00"
729100,St. Luke'S College,"136,761.00","68,381.00"
4224400,Networks Barber College,"136,724.00","68,362.00"
2063700,Sherman College Of Straight Chiropractic,"136,466.00","68,233.00"
625700,Saint Elizabeth School Of Nursing,"136,328.00","68,164.00"
3011800,Ucas University Of Cosmetology Arts & Sciences,"136,263.00","68,132.00"
3496300,Yeshiva Shaarei Torah Of Rockland,"136,261.00","68,131.00"
4174900,Estelle International,"136,220.00","68,110.00"
4130600,Healing Arts Center,"136,151.00","68,076.00"
3970300,Hands On Therapy,"135,777.00","67,889.00"
2259400,Amberton University,"135,514.00","67,757.00"
4148500,Medical Institute Of Palm Beach,"135,341.00","67,671.00"
369000,Marlboro College,"135,285.00","67,643.00"
3198400,Mid-Del Technology Center,"135,205.00","67,603.00"
4266300,Johnny Matthew'S Hairdressing Training School,"135,109.00","67,555.00"
2265600,John Jay Beauty College,"135,023.00","67,512.00"
4243300,Garden State Science And Technology Institute,"134,873.00","67,437.00"
3382300,North Florida Technical College,"134,851.00","67,426.00"
1090600,Cincinnati College Of Mortuary Science,"134,679.00","67,340.00"
4031300,Salon Professional Academy (The),"134,350.00","67,175.00"
4206800,Advance Beauty Techs Academy,"134,174.00","67,087.00"
2306200,Venango County Area Vocational Technical School,"134,117.00","67,059.00"
4227000,Abc Adult School,"133,978.00","66,989.00"
3094800,Industrial Management & Training Institute,"133,714.00","66,857.00"
1119200,Beth Hamedrash Shaarei Yosher Institute,"133,173.00","66,587.00"
2522700,Eastland-Fairfield Career And Technical Schools,"133,125.00","66,563.00"
4222200,Fab School (The),"132,973.00","66,487.00"
3027400,Avalon School Of Cosmetology,"132,880.00","66,440.00"
2330600,Pennsylvania Gunsmith School,"132,479.00","66,240.00"
4158000,Metro Beauty Academy,"132,460.00","66,230.00"
2174800,Michael'S School Of Hair Design & Esthetics Paul Mitchell Partner Scho,"132,378.00","66,189.00"
4221700,Zms The Academy,"132,113.00","66,057.00"
3070900,Southeast Missouri Hospital College Of Nursing And Health Sciences,"131,509.00","65,755.00"
2350200,Indiana County Technology Center,"131,498.00","65,749.00"
3617300,Healing Mountain Massage School,"131,175.00","65,588.00"
4220200,More Tech Institute,"130,953.00","65,477.00"
4158900,Flair Beauty College,"130,763.00","65,382.00"
3429600,Atlantic Institute Of Oriental Medicine,"130,647.00","65,324.00"
3577300,Coba Academy,"130,645.00","65,323.00"
2202200,Stylemasters College Of Hair Design,"130,349.00","65,175.00"
2234500,Boise Bible College,"130,055.00","65,028.00"
2143500,Sterling College,"129,712.00","64,856.00"
4184900,College Of International Esthetics,"129,153.00","64,577.00"
2156200,Technical College Of The Rockies,"128,974.00","64,487.00"
2559500,Salon Professional Academy (The),"128,759.00","64,380.00"
2265100,Yeshiva Derech Chaim,"128,724.00","64,362.00"
2548500,Cosmetology Training Center,"128,629.00","64,315.00"
3469300,Ivaem College,"127,721.00","63,861.00"
622500,Trinity College Of Nursing & Health Sciences,"127,554.00","63,777.00"
2159700,New Hope Christian College,"127,250.00","63,625.00"
3680300,Jay'S Technical Institute,"126,939.00","63,470.00"
4242800,Coalition Of African American Nurses,"125,975.00","62,988.00"
2056500,Mitchell'S Academy,"125,900.00","62,950.00"
1300800,Summit Salon Academy - Portland,"125,842.00","62,921.00"
3646300,Design'S School Of Cosmetology,"125,204.00","62,602.00"
1278300,Oswego County Boces,"125,152.00","62,576.00"
4275600,G.A. Beauty & Barber School,"124,879.00","62,440.00"
4174000,Skin Institute,"124,835.00","62,418.00"
4203200,Boise Barber College A D.Martin Academy,"124,720.00","62,360.00"
2187900,Ashtabula County Technical And Career Campus,"124,546.00","62,273.00"
3776400,Orion Institute,"124,387.00","62,194.00"
4224500,Trenz Beauty Academy,"124,177.00","62,089.00"
4188400,Bais Hamedrash And Mesivta Of Baltimore,"124,132.00","62,066.00"
3051400,Auburn Career Center,"124,034.00","62,017.00"
266900,Bank Street College Of Education,"124,021.00","62,011.00"
2350100,Western Area Career & Technology Center,"123,771.00","61,886.00"
794100,Salon Professional Academy (The),"123,699.00","61,850.00"
1062900,Pb Cosmetology Education Centre,"122,908.00","61,454.00"
4255300,Hoss Lee Academy,"122,657.00","61,329.00"
4189800,Academy For Salon Professionals,"122,587.00","61,294.00"
3173300,Atlanta'S John Marshall Law School,"122,500.00","61,250.00"
1198900,Talmudical Academy,"122,458.00","61,229.00"
4238200,Laredo Chi Academy Beauty School,"122,419.00","61,210.00"
3733300,Baptist University Of The Americas,"122,224.00","61,112.00"
4151500,American Academy Of Cosmetology,"122,040.00","61,020.00"
2534800,Fred W. Eberle Technical Center,"121,970.00","60,985.00"
4186600,Summit Salon Academy Kokomo,"121,654.00","60,827.00"
4159400,Columbia College Of Nursing,"121,544.00","60,772.00"
4204000,Aspen Beauty Academy - Laurel,"121,302.00","60,651.00"
4273900,Southeastern Esthetics Institute,"121,278.00","60,639.00"
4255600,International Diving Institute,"121,044.00","60,522.00"
4149400,Gary Manuel Aveda Institute,"121,011.00","60,506.00"
765900,La' James College Of Hairstyling,"120,456.00","60,228.00"
3438300,Pacific Islands University,"120,440.00","60,220.00"
466900,Upper Cape Cod Regional Technical School,"120,421.00","60,211.00"
2235900,Academy Of Hair Design #4,"120,390.00","60,195.00"
915600,Wayne County Schools Career Center,"120,311.00","60,156.00"
3131300,Five Branches University,"120,172.00","60,086.00"
2328500,Moler - Pickens Beauty College,"119,658.00","59,829.00"
4230300,Paul Mitchell The School Merrillville,"119,533.00","59,767.00"
178300,Worsham College Of Mortuary Science,"119,293.00","59,647.00"
2197900,North Bennet Street School,"119,089.00","59,545.00"
953100,Spa School (The),"118,984.00","59,492.00"
992900,Suny College Of Optometry,"118,717.00","59,359.00"
274000,Jewish Theological Seminary Of America (The),"118,674.00","59,337.00"
3759300,Stellar Career College,"118,426.00","59,213.00"
3103300,Jna Institute Of Culinary Arts,"118,411.00","59,206.00"
3065900,Buckeye Career Center,"118,342.00","59,171.00"
4202800,Panache Academy Of Beauty,"118,221.00","59,111.00"
4184500,Christine Valmy International School Of Esthetics & Cosmetology,"118,012.00","59,006.00"
826900,Hillyard Technical Center,"117,910.00","58,955.00"
288600,Albany Law School Of Union University,"117,773.00","58,887.00"
2158300,Mifflin County Academy Of Science And Technology,"117,767.00","58,884.00"
2616600,Shear Ego International School Of Hair Design,"117,714.00","58,857.00"
2519300,Ohio State School Of Cosmetology,"117,582.00","58,791.00"
2098400,Herkimer County  Boces Practical Nursing Program,"117,344.00","58,672.00"
2168900,Kansas Christian College,"117,258.00","58,629.00"
2069000,New York School Of Interior Design,"117,250.00","58,625.00"
4265400,Ann Webb Skin Institute,"117,072.00","58,536.00"
4226000,Bos-Man'S Barber College,"117,057.00","58,529.00"
4224700,Jb'S Hair Design And Barber College,"116,861.00","58,431.00"
4229900,Debutantes School Of Cosmetology And Nail Technology,"116,746.00","58,373.00"
1085400,Thomas Jefferson School Of Law,"116,684.00","58,342.00"
2544300,Butler Beauty Academy,"116,401.00","58,201.00"
4206700,Elite Welding Academy,"115,917.00","57,959.00"
4191500,Tooele Technical College,"115,803.00","57,902.00"
3536300,Institute For Therapeutic Massage,"115,588.00","57,794.00"
2192400,"Mr. John'S School Of Cosmetology, Esthetics & Nails","115,442.00","57,721.00"
4215900,Yeshiva Gedolah Kesser Torah,"115,347.00","57,674.00"
274900,New York College Of Podiatric Medicine,"115,225.00","57,613.00"
895500,Salon Professional Academy (The),"114,999.00","57,500.00"
3107000,Southwest College Of Naturopathic Medicine & Health Sciences,"114,934.00","57,467.00"
4148200,Beyond 21St Century Beauty Academy,"114,734.00","57,367.00"
2250900,Eastern Oklahoma County Technology Center School District #23,"114,478.00","57,239.00"
2517500,Aaniiih Nakoda College,"114,359.00","57,180.00"
4213800,Salon Professional Academy (The),"114,277.00","57,139.00"
4204800,American College Of Barbering,"114,269.00","57,135.00"
4269500,Goshen School Of Cosmetology,"114,257.00","57,129.00"
2536700,Bell Mar Beauty College,"113,974.00","56,987.00"
3874400,Community Christian College,"113,974.00","56,987.00"
3027200,Blades School Of Hair Design,"113,715.00","56,858.00"
553100,Grand River Technical School,"113,559.00","56,780.00"
3008700,Southwest Technology Center School District # 27,"113,543.00","56,772.00"
2199300,Orleans Niagara Boces,"113,519.00","56,760.00"
4229000,Barber Institute Of Texas,"113,248.00","56,624.00"
2285500,Creative Circus (The),"113,193.00","56,597.00"
2337900,College Of Hair Design Careers,"112,927.00","56,464.00"
4264900,Yeshiva Chemdas Hatorah,"112,892.00","56,446.00"
4161700,Shasta School Of Cosmetology,"112,740.00","56,370.00"
3002000,Hairmasters Institute Of Cosmetology,"112,704.00","56,352.00"
1192100,Westchester School Of Beauty Culture,"112,451.00","56,226.00"
2586400,Trumbull Career And Technical Center-Adult Training Center,"112,359.00","56,180.00"
3088800,"Watkins College Of Art, Design & Film","112,124.00","56,062.00"
4116900,Digrigoli School Of Cosmetology,"111,760.00","55,880.00"
3005700,Detroit Business Institute - Downriver,"111,552.00","55,776.00"
999200,Oak Hills Christian College,"111,319.00","55,660.00"
3078400,Cameo Beauty Academy,"111,227.00","55,614.00"
274100,American Jewish University,"111,218.00","55,609.00"
2118000,Levittown Beauty Academy,"111,172.00","55,586.00"
1252300,Talmudical Yeshiva Of Philadelphia,"111,069.00","55,535.00"
215400,Hellenic College & Holy Cross Greek Orthodox School Of Theology,"111,043.00","55,522.00"
299100,Lake Region State College,"110,878.00","55,439.00"
3235300,Massachusetts School Of Law At Andover,"110,861.00","55,431.00"
4189700,California Miramar University,"110,771.00","55,386.00"
924800,Samaritan Hospital School Of Nursing,"110,633.00","55,317.00"
2494800,Cr'U Institute Of Cosmetology And Barbering,"110,487.00","55,244.00"
2242400,Henrico County-Saint Mary'S Hospital School Of Practical Nursing,"110,429.00","55,215.00"
4135000,Cozmo Beauty School,"110,109.00","55,055.00"
3023700,Madison Adult Career Center,"110,102.00","55,051.00"
3100100,Paramount Beauty Academy,"109,818.00","54,909.00"
1293000,Charles & Sue'S School Of Hair Design,"109,527.00","54,764.00"
4223200,Grace International Beauty School,"109,223.00","54,612.00"
4251500,Beth Medrash Of Asbury Park,"109,145.00","54,573.00"
1063000,Northern Institute Of Cosmetology,"108,952.00","54,476.00"
1240700,Schuyler Steuben Chemung Tioga Allegany Boces,"108,927.00","54,464.00"
2338600,Charzanne Beauty College,"108,888.00","54,444.00"
744700,Del-Mar-Va Beauty Academy,"108,845.00","54,423.00"
983100,Model College Of Hair Design,"108,435.00","54,218.00"
4236400,Sandra Academy Of Salon Services,"108,427.00","54,214.00"
3015100,Alliance Career Center,"108,179.00","54,090.00"
4231000,Studio Beauty School,"108,031.00","54,016.00"
2245600,Warren County Career Center,"107,854.00","53,927.00"
886400,Arizona Academy Of Beauty,"107,836.00","53,918.00"
168500,Hebrew Theological College,"107,582.00","53,791.00"
2551100,Pj'S College Of Cosmetology,"107,097.00","53,549.00"
3441300,Iowa School Of Beauty,"106,994.00","53,497.00"
4180200,Long Island Nail Skin & Hair Institute,"106,834.00","53,417.00"
2326000,Ucas University Of Cosmetology Arts & Sciences,"106,620.00","53,310.00"
2251200,Schuylkill Technology Centers,"106,526.00","53,263.00"
888600,Portage Lakes Career Center,"106,470.00","53,235.00"
3098300,Putnam Career & Technical Center,"106,383.00","53,192.00"
1174400,National Beauty College,"106,210.00","53,105.00"
3076500,Fayette Institute Of Technology,"106,163.00","53,082.00"
865800,O'Briens Aveda Institute,"106,040.00","53,020.00"
4226100,Lawrence & Company College Of Cosmetology,"106,027.00","53,014.00"
4163400,Cosmo Beauty Academy,"105,841.00","52,921.00"
4246000,Michael K. Galvin Beauty & Business Academy,"105,677.00","52,839.00"
2535500,Mercer County Technical Education Center,"105,541.00","52,771.00"
1234700,Phagans' Central Oregon Beauty College,"105,390.00","52,695.00"
2146800,Joe Kubert School Of Cartoon & Graphic Art (The),"105,343.00","52,672.00"
1005200,Jefferson Lewis Boces Program Of Practical Nursing,"105,234.00","52,617.00"
3783300,Blue Cliff Career College,"105,082.00","52,541.00"
